gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled
0,0,1,0,1,0,1,29.85,29.85,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977
1,0,0,0,34,1,0,56.95,1889.5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.06430268518835193,-0.2608779199297493,-0.17373981825040724
1,0,0,0,2,1,1,53.85,108.15,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434
1,0,0,0,45,0,0,42.3,1840.75,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0.512486259227765,-0.747850415293989,-0.19524770717404732
0,0,0,0,2,1,1,70.7,151.65,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,-1.2395040756535771,0.19617817640187488,-0.94045745447498
0,0,0,0,8,1,1,99.65,820.5,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.9950403079957154,1.1584890119510036,-0.6453692184426381
1,0,0,1,22,1,1,89.1,1949.4,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,-0.42462485012737144,0.8078023344020117,-0.14731268909089865
0,0,0,0,10,0,0,29.75,301.9,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584
0,0,1,0,28,1,1,104.8,3046.05,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.18016108246950976,1.3296772953043026,0.33651554451135574
1,0,0,1,62,1,0,56.15,3487.95,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1.2051336009250397,-0.28747027462540753,0.5314762853391823
1,0,1,1,13,1,1,49.95,587.45,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.791320501614164,-0.4935610235167579,-0.7481879571842651
1,0,0,0,16,1,0,18.95,326.8,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,-0.6690886177852331,-1.5240147679735105,-0.8631834699626608
1,0,1,0,58,1,0,100.35,5681.1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1.0421577558197987,1.181757322309704,1.4990665744239262
1,0,0,0,49,1,1,103.7,5036.3,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.6754621043330061,1.2931128075977727,1.2145888969272465
1,0,0,0,25,1,1,105.5,2686.05,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.3023929662984406,1.3529456056630036,0.17768805707524432
0,0,1,1,69,1,0,113.25,7895.15,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1.4903413298592119,1.6105590417771916,2.475877681529266
0,0,0,0,52,1,0,20.65,1022.95,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.797693988161937,-1.4675060142452372,-0.5560508161330804
1,0,0,1,71,1,0,106.7,7382.25,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.5718292524118322,1.3928341377064908,2.2495926306793175
0,0,1,1,10,1,0,55.2,528.35,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,-0.9135523854430948,-0.3190486958265014,-0.7742621363716935
0,0,0,0,21,1,1,90.05,1862.9,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,-0.46536881140368175,0.8393807556031058,-0.18547540482207542
1,1,0,0,1,0,1,39.65,39.65,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,-1.2802480369298874,-0.8359375902233565,-0.9898704505662146
1,0,1,0,12,1,0,19.8,202.25,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-0.8320644628904743,-1.495760391109374,-0.9181333687409043
1,0,0,0,1,1,0,20.15,20.15,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1.2802480369298874,-1.4841262359300234,-0.9984736061356706
0,0,1,0,58,1,1,59.9,3505.1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1.0421577558197987,-0.16281861198951006,0.5390426503656527
1,0,1,1,49,1,0,59.6,2970.3,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.6754621043330061,-0.17279074500038175,0.3030955940300073
0,0,0,0,30,1,1,55.3,1530.6,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-0.09867315991688919,-0.3157246514895444,-0.33208199947490835
1,0,1,1,47,1,1,99.35,4749.15,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.5939741817803856,1.1485168789401314,1.0879019163236925
1,0,1,1,1,0,0,30.2,30.2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,-1.2802480369298874,-1.150059780065818,-0.9940396721114126
1,0,1,0,72,1,1,90.25,6369.45,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1.6125732136881425,0.8460288442770204,1.802757966025724
0,0,0,1,17,1,1,64.7,1093.1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-0.6283446565089229,-0.0032644838155611237,-0.5251015154562937
0,1,1,0,71,1,1,96.35,6766.95,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1.5718292524118322,1.0487955488314133,1.9781299834030968
1,1,1,0,2,1,1,95.5,181.65,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-1.2395040756535771,1.0205411719672768,-0.9272218305219706
0,0,1,1,27,1,0,66.15,1874.45,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,-0.22090504374582004,0.044934159070319335,-0.18037968960016687
1,0,0,0,1,1,0,20.2,20.2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1.2802480369298874,-1.4824642137615447,-0.9984515467624158
1,1,0,0,1,1,0,45.25,45.25,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-1.2802480369298874,-0.6497911073537496,-0.9873998007616529
0,0,1,1,72,1,0,99.9,7251.7,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1.6125732136881425,1.1667991227933967,2.1919956071104716
1,0,0,0,5,1,1,69.7,316.9,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,-1.1172721918246462,0.1629377330323022,-0.8675512258671538
0,0,0,0,46,1,1,74.8,3548.3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.5532302205040753,0.3324639942171226,0.5581019488579861
1,0,0,0,34,1,1,106.35,3549.25,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.06430268518835193,1.3811999825271402,0.5585210769498313
0,0,0,0,11,1,1,97.85,1105.4,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,-0.8728084241667845,1.0986562138857725,-0.5196749096355598
1,0,1,1,10,1,0,49.55,475.7,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,-0.9135523854430948,-0.5068572008645872,-0.7974906564092247
0,0,1,1,70,1,1,69.2,4872.35,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1.5310852911355222,0.14631751134751586,1.142256212024051
0,0,1,1,17,1,0,20.75,418.25,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.6283446565089229,-1.4641819699082799,-0.8228368762792375
0,0,0,0,63,1,1,79.85,4861.45,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1.24587756220135,0.5003282332334644,1.1374472686544572
0,0,1,0,13,1,1,76.2,981.45,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,-0.791320501614164,0.3790006149345245,-0.5743600959347432
0,0,0,0,49,1,1,84.5,3906.7,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0.6754621043330061,0.6548962949019775,0.7162235363499369
1,0,0,0,2,1,0,49.25,97.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-1.2395040756535771,-0.5168293338754589,-0.9645683494427119
0,0,0,0,2,1,1,80.65,144.15,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,-1.2395040756535771,0.526920587929123,-0.9437663604632323
1,0,0,0,52,1,1,79.75,4217.8,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.797693988161937,0.4970041888965074,0.8534769567426433
0,0,1,1,69,1,1,64.15,4254.1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1.4903413298592119,-0.021546727668825993,0.8694920617257846
0,1,0,0,43,1,1,90.25,3838.75,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.4309983366751445,0.8460288442770204,0.6862448480963709
0,0,0,0,15,1,1,99.1,1426.4,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,-0.7098325790615434,1.1402067680977384,-0.3780537333383605
0,1,1,0,25,1,1,69.5,1752.65,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,-0.3023929662984406,0.15628964435838757,-0.23411632284938455
0,1,1,0,8,1,1,80.65,633.3,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,-0.9950403079957154,0.526920587929123,-0.727959511909416
0,1,1,1,60,1,1,74.85,4456.35,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1.1236456783724194,0.33412601638560113,0.9587222265423222
1,1,0,0,18,1,1,95.45,1752.55,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-0.5876006952326126,1.0188791497987983,-0.23416044159589464
0,0,1,1,63,1,1,99.65,6311.2,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1.24587756220135,1.1584890119510036,1.7770587961836308
1,1,1,1,66,1,1,108.45,7076.35,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1.368109446030281,1.451004913603243,2.114633385105133
0,0,1,1,34,1,0,24.95,894.3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.06430268518835193,-1.3245721077560746,-0.6128095835182352
